x,y
3.5314417363186603,-30.114924586551517
3.28144173259337,-30.164924587296575
2.8314417258878475,-30.164924587296575
2.581441722162557,-30.164924587296575
2.1314417154570346,-30.164924587296575
1.8314417109866863,-30.414924591021865
1.631441708006454,-30.464924591766923
1.2814417027910476,-30.614924594002098
0.9314416975756412,-30.964924599217504
0.6314416931052929,-31.06492460070762
0.28144168788988644,-31.214924602942794
0.18144168639977032,-31.264924603687852
-0.2685583203057522,-31.214924602942794
-0.2685583203057522,-31.214924602942794
-0.46855832328598446,-30.964924599217504
-0.6685583262662167,-30.81492459698233
-0.918558329991507,-30.56492459325704
-1.4685583381871457,-30.31492458953175
-2.0185583463827843,-29.914924583571285
-2.2185583493630165,-29.56492457835588
-2.418558352343249,-29.064924570905298
-2.768558357558655,-28.564924563454717
-3.1185583627740616,-28.21492455823931
-3.468558367989468,-27.864924553023904
-3.7685583724598164,-27.564924548553556
-3.9185583746949906,-27.21492454333815
-4.118558377675223,-26.71492453588757
-4.168558378420281,-26.564924533652395
-4.168558378420281,-26.264924529182046
-4.168558378420281,-25.814924522476524
-4.318558380655455,-25.464924517261117
-4.468558382890629,-25.214924513535827
-4.518558383635687,-25.014924510555595
-4.618558385125803,-24.514924503105014
-4.7185583866159195,-24.264924499379724
-4.918558389596152,-23.714924491184085
-5.168558393321442,-23.264924484478563
-5.2185583940665,-22.764924477027982
-5.318558395556616,-22.31492447032246
-5.368558396301674,-22.164924468087285
-5.368558396301674,-21.76492446212682
-5.318558395556616,-21.614924459891647
-5.418558397046732,-21.114924452441066
-5.418558397046732,-20.914924449460834
-5.418558397046732,-20.914924449460834
-5.5685583992819065,-20.564924444245428
-5.718558401517081,-20.164924438284963
-5.818558403007197,-19.864924433814615
-5.918558404497313,-19.614924430089324
-6.068558406732487,-19.264924424873918
-6.118558407477545,-18.864924418913454
-6.218558408967661,-18.46492441295299
-6.268558409712719,-18.064924406992525
-6.218558408967661,-17.66492440103206
-6.068558406732487,-17.264924395071596
-6.168558408222603,-17.014924391346305
-6.318558410457777,-16.564924384640783
-6.318558410457777,-16.36492438166055
-6.218558408967661,-15.814924373464912
-6.218558408967661,-15.464924368249505
-6.168558408222603,-15.114924363034099
-6.018558405987429,-14.81492435856375
-6.118558407477545,-14.56492435483846
-5.968558405242371,-14.264924350368112
-5.818558403007197,-14.06492434738788
-5.668558400772023,-13.81492434366259
-5.5685583992819065,-13.214924334721893
-5.668558400772023,-12.614924325781196
-5.918558404497313,-12.114924318330615
-6.118558407477545,-11.914924315350383
-6.118558407477545,-11.914924315350383
-6.318558410457777,-11.46492430864486
-6.218558408967661,-10.96492430119428
-6.118558407477545,-10.264924290763467
-6.218558408967661,-10.114924288528293
-6.068558406732487,-9.614924281077712
-5.818558403007197,-9.264924275862306
-5.618558400026965,-8.964924271391958
-5.5185583985368485,-8.66492426692161
-5.268558394811558,-8.164924259471029
-5.268558394811558,-7.764924253510564
-5.5185583985368485,-7.1649242445698675
-5.718558401517081,-6.964924241589635
-5.718558401517081,-6.514924234884113
-5.768558402262139,-6.3149242319038805
-5.918558404497313,-6.014924227433532
-6.168558408222603,-5.664924222218126
-6.218558408967661,-5.4149242184928355
-6.3685584112028355,-5.214924215512603
-6.51855841343801,-4.864924210297197
-6.668558415673184,-4.464924204336732
-6.568558414183068,-4.064924198376268
-6.618558414928126,-3.5649241909256872
-6.568558414183068,-3.214924185710281
-6.468558412692952,-2.8149241797498163
-6.168558408222603,-2.414924173789352
-5.868558403752255,-2.1149241693190035
-5.618558400026965,-1.9149241663387713
-5.418558397046732,-1.614924161868423
-5.168558393321442,-1.5649241611233649
-4.918558389596152,-1.3649241581431326
-4.768558387360978,-1.0649241536727843
-4.268558379910397,-0.864924150692552
-3.8685583739499325,-0.814924149947494
-3.6685583709697003,-0.7149241484573778
-3.0685583620290036,-0.6149241469672617
-2.718558356813597,-0.46492414473208754
-2.1185583478729004,-0.3649241432419714
-1.668558341167378,-0.16492414026173918
-1.3185583359519715,0.18507586495366724
